TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PSSA3;40,97;3,87;10,01;1,87;0,55;100,00;8,79;7,50;8,54;5,44;-3,10;-0,68;0,75;7,76;-1,22;1,15;18,70;5,52;13,05;0,30;0,70;0,74;14,28;13,91;74.639.750,91;21,88;4,09;0,60;26.451.835.714,60
PTBL3;3,55;;-4,95;1,36;0,15;35,94;5,40;-4,24;3,88;12,22;8,34;2,92;0,21;-1,47;-0,22;0,75;-27,49;-3,05;7,98;0,11;0,89;0,72;16,66;;1.157.310,00;2,63;-0,72;-0,03;504.733.051,88
QUAL3;1,88;;81,16;0,41;0,12;83,15;11,73;0,42;2,88;8,22;5,34;0,76;0,34;3,46;-0,20;1,10;0,51;0,15;5,39;0,30;0,70;0,36;-4,63;-55,86;3.905.077,64;4,58;0,02;-0,75;533.946.931,00
RADL3;19,25;1,79;27,53;5,12;1,49;29,73;6,05;3,09;14,05;15,19;1,17;0,43;0,85;9,42;-3,49;1,38;18,61;5,41;22,02;0,29;0,71;1,75;17,22;9,21;220.229.634,64;3,75;0,70;2,00;32.985.738.240,00
RAIL3;16,81;0,55;-32,54;2,09;0,62;45,94;17,43;-6,88;12,85;17,68;4,80;0,78;2,24;7,43;-0,79;1,63;-6,42;-1,90;4,78;0,30;0,70;0,28;14,48;;168.020.476,36;8,05;-0,52;0,14;31.291.639.169,63
RAIZ4;1,87;0,53;-7,49;0,88;0,15;5,46;2,35;-1,03;3,30;8,80;5,48;1,46;0,08;3,88;-0,27;1,10;-11,75;-2,03;6,83;0,17;0,83;1,96;;;20.255.812,82;2,14;-0,25;0,05;19.566.242.924,76
RANI3;7,31;9,73;5,75;1,28;0,48;38,43;19,54;18,71;5,51;8,92;3,40;0,79;1,08;2,38;-0,73;2,49;22,28;8,41;7,24;0,38;0,62;0,45;12,61;;3.676.405,14;5,70;1,27;-0,28;1.755.555.007,08
RAPT4;8,43;4,29;6,83;0,62;0,18;26,72;10,74;3,43;2,18;5,61;3,49;0,99;0,23;0,66;-0,43;1,91;9,06;2,65;8,54;0,29;0,71;0,77;18,53;10,53;22.706.163,73;13,69;1,24;0,97;2.709.486.029,45
RCSL3;3,01;;-5,21;-5,48;2,04;8,52;-74,85;-92,52;-6,45;-3,95;0,00;;4,82;-11,37;-2,98;0,64;-105,10;-39,19;85,03;-0,37;1,37;0,42;1,25;;3.753.760,50;-0,55;-0,58;-0,02;58.651.234,68
RCSL4;1,26;;-2,18;-2,29;0,86;8,52;-74,85;-92,52;-2,70;-3,95;0,00;;2,02;-4,76;-1,25;0,64;-105,10;-39,19;85,03;-0,37;1,37;0,42;1,25;;4.251.305,14;-0,55;-0,58;-0,01;58.651.234,68
RDOR3;28,15;2,46;16,77;2,42;0,63;18,71;14,71;7,61;8,67;8,76;0,03;0,01;1,28;1,93;-1,26;2,88;14,41;3,75;9,88;0,26;0,74;0,49;30,58;26,94;155.748.174,86;11,66;1,68;0,19;64.924.337.852,40
RECV3;16,64;16,54;11,16;1,15;0,66;36,51;29,05;13,40;5,15;5,92;0,77;0,17;1,50;5,83;-0,83;2,14;10,33;5,88;14,50;0,57;0,43;0,44;57,21;47,03;38.429.244,86;14,43;1,49;-0,29;4.880.441.455,38
RENT3;36,20;4,58;21,61;1,49;0,45;23,48;15,58;4,87;6,75;12,53;5,74;1,27;1,05;12,77;-0,59;1,17;6,88;2,08;8,09;0,30;0,70;0,43;29,60;16,81;278.483.048,82;24,33;1,68;48,40;39.385.741.793,60
ROMI3;9,03;9,61;7,40;0,69;0,33;29,12;9,23;9,33;7,49;11,86;4,38;0,40;0,69;1,03;-0,87;2,07;9,27;4,47;5,10;0,48;0,52;0,48;9,77;-2,56;1.080.279,41;13,19;1,22;-0,24;841.331.845,41
SANB11;27,17;5,91;7,61;;;41,32;13,99;9,78;5,32;5,32;;;0,74;;;;;;;;;;13,50;-4,21;59.854.780,86;0,00;3,58;0,18;102.092.500.259,37
SANB3;12,89;5,95;7,21;;;41,32;13,99;9,78;5,04;5,32;;;0,70;;;;;;;;;;13,50;-4,21;1.143.505,23;0,00;1,79;0,17;102.092.500.259,37
SANB4;14,29;5,90;7,99;;;41,32;13,99;9,78;5,58;5,32;;;0,78;;;;;;;;;;13,50;-4,21;1.352.800,59;0,00;1,79;0,19;102.092.500.259,37
SAPR11;28,11;5,51;5,68;0,84;0,43;58,29;34,90;22,12;3,60;5,69;2,09;0,49;1,26;6,51;-0,51;1,71;14,71;7,59;10,96;0,52;0,48;0,34;8,62;10,90;22.816.877,73;33,68;4,95;10,85;8.492.975.016,78
SAPR3;5,68;5,06;5,73;0,84;0,43;58,29;34,90;22,12;3,63;5,69;2,09;0,49;1,27;6,57;-0,52;1,71;14,71;7,59;10,96;0,52;0,48;0,34;8,62;10,90;1.127.758,09;6,74;0,99;10,95;8.492.975.016,78
SAPR4;5,59;5,65;5,64;0,83;0,43;58,29;34,90;22,12;3,58;5,69;2,09;0,49;1,25;6,47;-0,51;1,71;14,71;7,59;10,96;0,52;0,48;0,34;8,62;10,90;8.056.703,09;6,74;0,99;10,78;8.492.975.016,78
SBFG3;12,11;1,43;5,52;0,98;0,33;49,12;8,56;7,50;4,84;7,95;3,14;0,64;0,41;1,79;-0,73;1,51;17,80;5,99;10,12;0,34;0,66;0,80;22,95;11,57;15.893.533,45;12,35;2,20;0,03;2.945.236.668,60
SBSP3;101,92;1,41;7,26;1,88;0,86;54,07;42,91;26,50;4,49;5,79;1,28;0,54;1,93;-51,05;-0,99;0,89;25,94;11,83;18,41;0,46;0,54;0,45;14,98;23,26;355.198.001,86;54,03;14,02;0,04;69.936.729.796,08
SCAR3;17,30;20,16;-30,51;0,64;0,35;36,03;17,78;-6,43;11,04;20,84;9,80;0,57;1,96;1,86;-0,48;3,02;-2,11;-1,14;2,54;0,54;0,46;0,18;6,45;;1.459.618,64;26,91;-0,57;0,28;999.432.991,89
SEER3;5,24;;-583,79;0,56;0,20;55,23;12,06;-0,06;2,84;5,29;2,48;0,49;0,34;2,66;-0,27;1,35;-0,10;-0,03;10,32;0,35;0,65;0,57;9,20;;3.363.203,23;9,39;-0,01;6,09;669.352.112,00
SEQL3;2,16;;-0,09;0,25;0,04;-6,18;-103,74;-124,01;-0,11;-0,86;-0,76;1,79;0,11;-0,13;-0,05;0,37;-282,82;-45,53;-91,18;0,16;0,83;0,37;15,49;;885.734,68;8,67;-24,53;0,00;76.379.991,12
SHUL4;5,55;6,16;7,77;1,39;0,76;25,81;14,92;13,12;6,83;18,07;-0,20;-0,04;1,02;1,79;-2,03;3,16;17,92;9,81;11,89;0,55;0,45;0,75;12,91;21,32;1.531.864,41;3,99;0,71;-0,95;5.303.977.753,48
SIMH3;4,48;;-19,78;0,68;0,05;25,75;16,33;-0,48;0,58;7,05;6,47;7,58;0,10;0,64;-0,07;1,29;-3,46;-0,24;10,12;0,07;0,93;0,49;33,49;;25.920.853,95;6,56;-0,23;0,33;3.867.569.561,19
